Factor,ML_R2,ML_Enhanced_R2,R2_Difference,ML_RMSE,ML_Enhanced_RMSE,Coverage_95_pct,Avg_Interval_Width
Mkt-RF,-0.013559323465226703,-0.009485140221183297,0.004074183244043406,0.04543293415906609,0.04534152930374728,95.34883720930233,0.17007835495454424
SMB,-0.07047544272101725,-0.06999738756875873,0.00047805515225851636,0.03251500019677857,0.032507739077769736,90.69767441860465,0.12160951750777199
HML,-0.05415560306873579,-0.0501667865672617,0.003988816501474091,0.03831705515139588,0.038244492543914585,88.37209302325581,0.1176260299045125
RMW,0.04486850362209194,0.04457531220572264,-0.00029319141636929835,0.02335774302455973,0.02336132774787887,97.67441860465115,0.10905582859738117
CMA,-0.057381659506403615,-0.05332303910914238,0.004058620397261237,0.028557097106394525,0.028502238083274678,86.04651162790698,0.08135659011149611
