Factor,Hist_Mean_RMSE,ML_RMSE,RMSE_Improvement_pct,Hist_Mean_R2,ML_R2,R2_Improvement,Hist_Mean_MAE,ML_MAE
Mkt-RF,0.04529524373052026,0.04543293415906609,-0.3039842977002237,-0.007425185456665373,-0.013559323465226703,-0.0061341380085613295,0.03694196124031008,0.03753172500125208
SMB,0.03203458503612451,0.03251500019677857,-1.4996765530513556,-0.03907618748952779,-0.07047544272101725,-0.031399255231489454,0.02481802325581395,0.02528050512854786
HML,0.03746394888219267,0.03831705515139588,-2.277139208912132,-0.007737866255425718,-0.05415560306873579,-0.04641773681331007,0.02926510852713178,0.030008391432393314
RMW,0.024028417944321194,0.02335774302455973,2.791173856371055,-0.010768663082863394,0.04486850362209194,0.05563716670495533,0.01927704651162791,0.01886998770631477
CMA,0.02891228501543857,0.028557097106394525,1.2285016865819554,-0.08384827195014077,-0.057381659506403615,0.02646661244373716,0.023128674418604653,0.02290405852172693
