Date,Mkt-RF_mean,Mkt-RF_lower,Mkt-RF_upper,SMB_mean,SMB_lower,SMB_upper,HML_mean,HML_lower,HML_upper,RMW_mean,RMW_lower,RMW_upper,CMA_mean,CMA_lower,CMA_upper
2022-04-01,0.007378549735737947,-0.0790281242623024,0.09186940412001113,-0.006626587321423379,-0.06823648424501257,0.05418316486542985,-0.002588554268320931,-0.06268662352563822,0.05644279134568805,0.009191833685755121,-0.045065304327829875,0.06362368518499746,0.0015897217348668647,-0.04002209125615762,0.042352734048628465
2022-05-01,0.011618317482361046,-0.07260063521628621,0.09702524158058015,0.0038431347009853815,-0.05718793678169696,0.06521501517272855,0.0009389022114945329,-0.0575145670361778,0.06070805527980424,0.006497703167060331,-0.04877217146106876,0.0608741964910867,-0.00015955952405509813,-0.040364454411456405,0.04051197501267665
2022-06-01,0.01044814758888827,-0.07547142575855158,0.09611231400328706,-0.006949567065741229,-0.06791468233175799,0.054517438669469176,-0.0065390678987248575,-0.06597126968849007,0.05161658621481712,0.009273880132969117,-0.044774462906150815,0.06375975393633629,-0.0011399930872277846,-0.042192106058363564,0.038162560643090954
2022-07-01,0.007732795579644377,-0.07719723891206522,0.09224150139056383,0.013254734103831448,-0.04866129959307386,0.07394246954232628,0.0030076815924425866,-0.05655807270367355,0.060693381980824426,0.0029871804751103533,-0.051691891618262646,0.05718108020875034,0.0006662139601253379,-0.04031055715731334,0.04146130937403869
2022-08-01,0.006935647628149299,-0.0799261442610465,0.09416900316869159,0.0008358934346637715,-0.06033393746854046,0.061427725997627323,-0.0028833203455079165,-0.06069792206180878,0.05603929826177669,0.00048274122697195763,-0.05370274593125745,0.05605756900994097,-0.0008553039207910334,-0.0419706161574376,0.04117847201667062
2022-09-01,0.01008742804720494,-0.074746285196724,0.09570433306962188,-0.004554810764394779,-0.06464864489305945,0.05732222249146942,-0.003112673231766553,-0.06071309399546634,0.05578587088039357,0.004043198877831424,-0.04986077264721355,0.05837254411411587,-0.00020128298137727364,-0.04099140125965813,0.040116955925165336
2022-10-01,0.004726055006420238,-0.07921554295463298,0.09239451090255195,0.011514869766800611,-0.0493580720988433,0.07230260280040654,0.0022725258233349307,-0.05694804952576444,0.06150264004986433,0.004938703323190364,-0.04903927845006003,0.05978089437985954,0.0030598884945445544,-0.03845704516135245,0.04388240829410816
2022-11-01,0.007974755329956874,-0.07886222308245654,0.09451547771075479,0.011994321787499653,-0.04904533175471563,0.07357081873044037,0.005469906667539492,-0.05362850092931932,0.06449341823738587,0.005588205812349221,-0.04898359096164877,0.061562090748148876,0.0032118992438964987,-0.03760980630296564,0.04458512564383076
2022-12-01,0.0038636459791493104,-0.07886559300119103,0.08998833359389981,-0.005172827734651926,-0.06476263287036876,0.05546690211003533,0.0022395371273164844,-0.05638289309168019,0.06099683511264652,0.006076742688262961,-0.04834975253180775,0.05986354903370521,0.0022715684890080756,-0.03781988176606496,0.0430006736375678
2023-01-01,0.005725167865076406,-0.0806939639187665,0.0918855187344721,0.010411991173909646,-0.050643600374214726,0.07000279144528652,0.005997842906986737,-0.05356849990230555,0.06422436221254818,0.0045552452830999865,-0.051709612819057144,0.060105929301173956,0.004276476442959535,-0.03719422768138529,0.04522612928745712
