Date,RF_yield_pct
2020-01-31,1.5099999904632568
2020-02-29,1.2300000190734863
2020-03-31,0.0299999993294477
2020-04-30,0.0900000035762786
2020-05-31,0.1280000060796737
2020-06-30,0.135000005364418
2020-07-31,0.0829999968409538
2020-08-31,0.0949999988079071
2020-09-30,0.0850000008940696
2020-10-31,0.0829999968409538
2020-11-30,0.0750000029802322
2020-12-31,0.0649999976158142
2021-01-31,0.0480000004172325
2021-02-28,0.0350000001490116
2021-03-31,0.0130000002682209
2021-04-30,0.003000000026077
2021-05-31,0.0080000003799796
2021-06-30,0.0399999991059303
2021-07-31,0.0399999991059303
2021-08-31,0.0399999991059303
2021-09-30,0.0280000008642673
2021-10-31,0.0480000004172325
2021-11-30,0.0480000004172325
2021-12-31,0.032999999821186
2022-01-31,0.1729999929666519
2022-02-28,0.2879999876022339
2022-03-31,0.4930000007152557
2022-04-30,0.8080000281333923
2022-05-31,1.0299999713897705
2022-06-30,1.600000023841858
2022-07-31,2.2980000972747803
2022-08-31,2.859999895095825
2022-09-30,3.180000066757202
2022-10-31,3.974999904632568
2022-11-30,4.252999782562256
2022-12-31,4.260000228881836
2023-01-31,4.570000171661377
2023-02-28,4.710000038146973
2023-03-31,4.585000038146973
2023-04-30,4.922999858856201
2023-05-31,5.248000144958496
2023-06-30,5.152999877929688
2023-07-31,5.248000144958496
2023-08-31,5.297999858856201
2023-09-30,5.300000190734863
2023-10-31,5.320000171661377
2023-11-30,5.23799991607666
2023-12-31,5.179999828338623
2024-01-31,5.188000202178955
2024-02-29,5.2230000495910645
2024-03-31,5.203000068664551
2024-04-30,5.244999885559082
2024-05-31,5.244999885559082
2024-06-30,5.2129998207092285
2024-07-31,5.135000228881836
2024-08-31,4.9679999351501465
2024-09-30,4.498000144958496
2024-10-31,4.432000160217285
2024-11-30,4.373000144958496
2024-12-31,4.182000160217285
