Date;Close;Log_Weekly_Returns
2000-01-03; $145,75 ;
2000-01-10; $146,97 ;0,008327494
2000-01-18; $144,44 ;-0,017373431
2000-01-24; $135,88 ;-0,061111543
2000-01-31; $142,59 ;0,048264683
2000-02-07; $138,69 ;-0,027776828
2000-02-14; $135,31 ;-0,024636282
2000-02-22; $133,33 ;-0,014773911
2000-02-28; $141,13 ;0,056833015
2000-03-06; $140,13 ;-0,007111141
2000-03-13; $146,94 ;0,047472445
2000-03-20; $153,56 ;0,044100324
2000-03-27; $150,38 ;-0,020975476
2000-04-03; $151,44 ;0,007040824
2000-04-10; $136,00 ;-0,107518113
2000-04-17; $143,81 ;0,055855482
2000-04-24; $145,09 ;0,008870062
2000-05-01; $143,53 ;-0,0108273
2000-05-08; $142,81 ;-0,005020549
2000-05-15; $141,13 ;-0,011886559
2000-05-22; $138,00 ;-0,022392337
2000-05-30; $147,84 ;0,068902626
2000-06-05; $146,59 ;-0,008490814
2000-06-12; $146,59 ;0
2000-06-19; $144,38 ;-0,015251415
2000-06-26; $145,28 ;0,006257782
2000-07-03; $148,09 ;0,019173994
2000-07-10; $151,25 ;0,02108824
2000-07-17; $147,69 ;-0,023835542
2000-07-24; $142,09 ;-0,038611152
2000-07-31; $146,38 ;0,029684419
2000-08-07; $147,41 ;0,007020898
2000-08-14; $149,69 ;0,015357068
2000-08-21; $151,25 ;0,010384309
2000-08-28; $152,50 ;0,008230499
2000-09-05; $149,81 ;-0,017780084
2000-09-11; $146,00 ;-0,02577789
2000-09-18; $145,28 ;-0,004934759
2000-09-25; $143,63 ;-0,011466127
2000-10-02; $141,06 ;-0,018002682
2000-10-09; $137,56 ;-0,025124695
2000-10-16; $139,91 ;0,016894554
2000-10-23; $139,28 ;-0,004477284
2000-10-30; $142,78 ;0,02481846
2000-11-06; $136,63 ;-0,044074142
2000-11-13; $136,64 ;0,000114175
2000-11-20; $134,84 ;-0,01323705
2000-11-27; $132,22 ;-0,019658945
2000-12-04; $133,97 ;0,013148811
2000-12-11; $130,97 ;-0,02264781
2000-12-18; $130,94 ;-0,000239017
2000-12-26; $131,19 ;0,001907487
2001-01-02; $129,19 ;-0,01536276
2001-01-08; $132,00 ;0,021537085
2001-01-16; $134,02 ;0,015154288
2001-01-22; $135,88 ;0,013779134
2001-01-29; $134,80 ;-0,007943147
2001-02-05; $131,84 ;-0,022203132
2001-02-12; $130,40 ;-0,010982417
2001-02-20; $124,96 ;-0,042612963
2001-02-26; $123,61 ;-0,010862238
2001-03-05; $123,36 ;-0,002024538
2001-03-12; $115,01 ;-0,070087829
2001-03-19; $114,48 ;-0,004618946
2001-03-26; $116,69 ;0,019120711
2001-04-02; $113,30 ;-0,029481678
2001-04-09; $118,85 ;0,047823026
2001-04-16; $124,50 ;0,046443522
