Symbol,ExpRet,LastRet,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Sector,Weight,Side,Beta_MKT_contrib,Beta_SMB_contrib,Beta_HML_contrib,Beta_RMW_contrib,Beta_CMA_contrib
EQT,0.033648043761042294,0.015435000664557733,1.072380743886712,0.0121513413378363,-0.4728607964984722,-0.3325410057940047,1.744696210802592,Unknown,0.010571197842284892,Long,0.00430959836183016,4.8832843206209794e-05,-0.0019002953247534266,-0.001336389320659597,0.007011446237569193
CF,0.013806765114349232,-0.047187081084406314,0.9424212536405282,0.4938945235590884,0.5738115237206156,-0.330418241358218,0.5598042388415867,Unknown,0.00954820470230711,Long,0.0037873275084396754,0.001984823992580001,0.0023059880706762055,-0.0013278585239372867,0.0022496967093174
TPL,0.03147917929961756,-0.37276604949143255,1.352996013864789,1.3475478494603432,0.930114413733098,1.0380398584397226,-0.2053052868740603,Unknown,0.008916945363803054,Long,0.005437312669174908,0.0054154180197920005,0.0037378697599611457,0.0041715919452567415,-0.0008250645426369119
KR,0.013911075306589433,0.00315661089980893,0.5852225177863583,0.0315633759846928,-0.7218639100124951,0.0590193526272408,1.4155298844570192,Unknown,0.008781454012213651,Long,0.0023518456652040064,0.00012684438266249908,-0.002900969214328608,0.00023718227583682108,0.005688618810020388
FCX,0.022753545251151835,-0.1524555798832479,1.7261808750924288,0.7010139561505031,0.4276258448016509,0.4022852167583262,0.350972421017113,Unknown,0.008268469747365417,Long,0.006937038280413926,0.0028171790796025714,0.0017185087020064205,0.001616671803380799,0.0014104600248423557
AXON,0.03472549853432483,-0.08828652902538194,0.9963756525735704,0.6907168550003556,-0.7686213946842528,-1.1132321600179471,0.5938408095306271,Unknown,0.008099563003896595,Long,0.004004155151588715,0.0027757979092474993,-0.00308887447138719,-0.004473768780817291,0.002386480169967922
FANG,0.016669621208904757,-0.0791173413563634,1.7976645862152232,0.230153275345691,1.8291353409036952,-0.5500537042722519,-0.1939436552852064,Unknown,0.007942267383333366,Long,0.00722431132789125,0.0009249216605706025,0.007350783491462033,-0.0022105120372254024,-0.0007794053221015093
IRM,0.025921414084587546,-0.16602916060153752,1.059332638595355,0.2820332958759723,0.0714370935139663,0.0493598733752518,0.6306024653589722,Unknown,0.00783497082815501,Long,0.004257161675038477,0.0011334129569348676,0.00028708570434217017,0.0001983635296053036,0.0025342149858335983
TKO,0.017043320847341534,0.026217689047341456,1.09146892544577,0.2132739379012267,0.1839848155898094,-0.6673785902804164,0.4551703713910062,Unknown,0.007576029022402909,Long,0.004386308426278989,0.0008570883230045128,0.0007393835299519608,-0.0026820079489387433,0.001829202452657554
CAT,0.019338854473473947,-0.11630242399423321,1.0813896041410258,0.1175691939084219,0.3460806560170183,-0.2237033746206399,0.4959646832977826,Unknown,0.007475357045427572,Long,0.0043458024522292785,0.000472477716853664,0.0013908013890909724,-0.0008990013130101808,0.00199314338573347
ABBV,0.015724061739720182,-0.03242680331535971,0.536339292029664,0.2801550885521667,-0.106546035628205,0.4174241838389844,0.603962725649907,Unknown,0.007364882671949776,Long,0.0021553976491024804,0.0011258649668651156,-0.00042817872590531864,0.0016775110790788507,0.0024271573206673374
COR,0.01931730168952924,-0.11412244241924321,0.598809397779149,-0.2584137896939226,-0.1119997028906409,-0.1723679809335481,0.9424584838148948,Unknown,0.007305582673042079,Long,0.0024064475368742234,-0.0010384927658276762,-0.00045009548973583686,-0.0006926987196458515,0.003787477126100544
DE,0.017685000645807473,-0.09836517188219977,0.9935622106562816,0.0883210772160821,0.2433324084473549,-0.1213377193631298,0.5089723135526548,Unknown,0.007199698155831269,Long,0.003992848715188237,0.00035493771391862354,0.0009778849114952877,-0.0004876223669405926,0.0020454174146707256
LLY,0.0290686340398187,-0.031562780915265744,0.585031642712771,-0.2601799209979365,-0.9944747364397224,-0.0963047503442325,1.3210187583434103,Unknown,0.007001102936813608,Long,0.002351078591653744,-0.001045590353711406,-0.003996515901161002,-0.0003870218639097569,0.005308805020379122
ON,0.017336260107525734,-0.1238605129563824,1.2780775423969448,1.582884174816507,0.2807903130724584,0.6906919850998823,-0.6266812020132662,Unknown,0.006940559195166962,Long,0.0051362362802624744,0.006361168909124638,0.0011284177565973534,0.002775697964071357,-0.002518456524869714
TMUS,0.01785906269210542,-0.11202563643499529,0.5045485432488915,0.4594026844151519,-0.2561609000904789,0.0696360952833563,0.3632471307037384,Unknown,0.006917923443922917,Long,0.002027639518748132,0.00184621093530664,-0.0010294390324407862,0.000279847996029575,0.0014597886509473855
DHI,0.01686776616120832,-0.18926860062700998,1.4639324557767566,1.00175862667035,0.1578562654434226,1.4015394007794186,0.0079905658572444,Unknown,0.006809033360088464,Long,0.0058831352103353345,0.004025787819352942,0.0006343801927046432,0.0056323949679923475,3.211184994208957e-05
MOH,0.013240459079060397,-0.02668274089650953,0.5472388544704981,0.1904762634036607,-0.4541659217772702,0.0903470427842007,0.6410928215319525,Unknown,0.006725693234896806,Long,0.002199199942930918,0.0007654708436453097,-0.00182516585051361,0.00036307950305765964,0.0025763727940894933
MCK,0.024159127325128735,-0.10127739808411564,0.4559716322784141,0.2314800905606116,-0.0068329041517887,0.2790866491319077,0.3986869060260612,Unknown,0.00670722797722047,Long,0.0018324224961238852,0.0009302537599292211,-2.7459531241081218e-05,0.0011215712075809139,0.001602211198669714
