N_LONG,N_SHORT,Score,ExpExcess,ExpNominal,Beta,VolMonthly,SharpeAnn,CashAbs
116,81,1.105832653988953,0.012150605613825085,0.015570539055958685,-7.691240020356789e-17,0.010975598555551542,3.8349555442207226,0.0
116,80,1.1057343044627805,0.012192450244261662,0.015612383686395262,1.8908485888147197e-16,0.01101465799715815,3.834516386666808,0.0
160,81,1.105308162522936,0.011326243346992448,0.014746176789126049,2.993166288249866e-17,0.010236742398633187,3.8327874575605705,0.0
155,81,1.1052029122684641,0.011404617565045534,0.014824551007179134,2.7755575615628914e-16,0.01030859078285932,3.832410749371559,0.0
160,80,1.1051750680534327,0.01137127731681565,0.01479121075894925,5.551115123125783e-17,0.010278940018329737,3.83222978722676,0.0
116,74,1.1049135625744448,0.012392270676926111,0.01581220411905971,-5.035034889022683e-16,0.011201871686583202,3.832224298603612,0.0
146,81,1.1047726261726927,0.01155522211133005,0.01497515555346365,-5.835176092316985e-16,0.010448608176462653,3.8309852281861945,0.0
155,80,1.1047683606020855,0.011449645447946306,0.014869578890079907,-2.1532255145562118e-16,0.010353611554667975,3.8308116041984692,0.0
146,80,1.104673257509691,0.011599443896423037,0.015019377338556638,8.673617379884035e-18,0.010489790666863771,3.8305485411857405,0.0
161,81,1.1046118457117362,0.011290183974294106,0.014710117416427707,-5.898059818321144e-17,0.010210556405826961,3.8303832804091957,0.0
116,75,1.1045720974165352,0.012368727730761276,0.015788661172894874,1.8393489856216583e-15,0.011184070394717426,3.8310318334161213,0.0
161,80,1.1045282693714957,0.011335307563285305,0.014755241005418905,-4.698206947552748e-16,0.010252398673090034,3.829997105079899,0.0
146,74,1.1043075442254084,0.011808029160162995,0.015227962602296596,-3.469446951953614e-18,0.010680363598822965,3.8298520932210773,0.0
159,81,1.1042795375288703,0.011372388530234971,0.014792321972368572,-4.5102810375396984e-17,0.010287803087082496,3.8293024411622016,0.0
147,81,1.1042677417846882,0.011540704359167975,0.014960637801301576,1.8301332671555315e-16,0.01044033390739282,3.829204407161009,0.0
106,80,1.1042422980295148,0.012504590691203219,0.01592452413333682,2.3440450969136606e-15,0.011310844205346317,3.8297028960542834,0.0
116,83,1.1042330112942678,0.012064497044907117,0.015484430487040717,1.0776969594505914e-16,0.01091305828468058,3.8295996052504053,0.0
128,80,1.1041830875848502,0.012000108201509822,0.015420041643643422,-6.765421556309548e-17,0.010856410808586868,3.8290365882063484,0.0
147,80,1.1041697005117879,0.011585013975603313,0.015004947417736914,-3.634245682171411e-16,0.010481601186650846,3.8287724279561184,0.0
146,75,1.104158155037692,0.011780418108227497,0.015200351550361098,-4.835255660092822e-17,0.010656865815485571,3.8293215005494106,0.0
157,81,1.1040853035718565,0.011395637840196624,0.014815571282330225,2.5977484052752686e-16,0.010310725016796717,3.828600547822012,0.0
159,80,1.1040820919261225,0.011418293783407897,0.014838227225541498,-9.75781955236954e-18,0.01033143464799318,3.8285224932341637,0.0
128,81,1.1040794278328085,0.011957943905849717,0.015377877347983317,-4.1153965639427215e-16,0.010819012817355991,3.828771949648542,0.0
160,75,1.1040323705760067,0.011553502383037985,0.014973435825171586,-1.5981140022436335e-16,0.010452944714694622,3.8288259775560305,0.0
158,81,1.104011774155828,0.011385867082845117,0.014805800524978718,-7.131881890609648e-16,0.0103026365379379,3.828321071619784,0.0
157,80,1.1039314306560508,0.011441379407160515,0.014861312849294116,-2.099606107279534e-16,0.010353813029539131,3.827971470092576,0.0
160,74,1.1038941650776886,0.011580933004851217,0.015000866446984817,-4.176346768414163e-16,0.01047904043659753,3.828358996191936,0.0
158,80,1.1037990391290387,0.011432028680495726,0.014851962122629327,3.673276960380889e-16,0.010346656029467742,3.827488698147395,0.0
162,81,1.1037279397659165,0.0112751896093371,0.0146951230514707,-2.0534789146875454e-16,0.010205151096800256,3.8273223165637913,0.0
161,75,1.103695940329652,0.01151797723540306,0.014937910677536661,-1.43982048506075e-16,0.010423958263466747,3.8276672388565447,0.0
162,80,1.103673129240794,0.011319650720774269,0.01473958416290787,-5.594483210025203e-17,0.010246157047889113,3.8270368257441287,0.0
155,75,1.1036638098442937,0.011631725398544606,0.015051658840678207,-1.087671619437458e-15,0.010527262036655022,3.827536409717814,0.0
155,74,1.1036130233064274,0.011659438998180172,0.015079372440313772,-9.257126441242493e-17,0.010552790571443434,3.8273744931973472,0.0
154,81,1.1035322822529834,0.011416118816488281,0.014836052258621881,8.066464163292153e-17,0.010334587095200541,3.826625608406484,0.0
106,81,1.1035134117565797,0.012461879117976377,0.015881812560109978,2.0249643975511766e-15,0.011279360557798325,3.827275079914622,0.0
155,83,1.1034891836486573,0.01131519862908582,0.01473513207121942,-3.426078865054194e-16,0.01024314278805641,3.8266573704629714,0.0
161,74,1.1034735730352296,0.011545529548334302,0.014965462990467903,-1.0907073855204175e-16,0.010450964243650863,3.8269088500903723,0.0
116,76,1.10344941741568,0.012321333340150915,0.015741266782284515,-2.983724378680108e-16,0.011152560411996769,3.8271346800645163,0.0
147,74,1.1034142609530877,0.011793491160411094,0.015213424602544694,-2.8541997171462026e-16,0.01067592712615757,3.826726362415404,0.0
147,75,1.1033786665570353,0.011765769534022133,0.015185702976155733,7.806255641895632e-17,0.010651212692187152,3.8265897437238507,0.0
154,80,1.1031661066068754,0.011460894781366152,0.014880828223499752,3.3219954564955856e-16,0.010378815555413593,3.8252634812790296,0.0
128,74,1.1029956229942277,0.012201617630137392,0.015621551072270992,-3.148523108897905e-16,0.011048952174076788,3.82548884943327,0.0
164,80,1.1029428290373875,0.011264488607951817,0.014684422050085418,2.498001805406602e-16,0.010203101378329579,3.8244580479602353,0.0
164,81,1.1028687737824368,0.011220223801742181,0.014640157243875782,4.6553724753814465e-17,0.010163436469829458,3.8242965860221854,0.0
160,83,1.1028648797210645,0.011236703837063078,0.014656637279196678,2.2963402013242984e-16,0.010177793871248189,3.824510930679823,0.0
128,75,1.1028496510060357,0.012175697635617072,0.015595631077750673,-3.288385189148535e-16,0.011026969120610242,3.824972518163348,0.0
157,75,1.1027889475475987,0.011623034578929846,0.015042968021063446,4.683753385137379e-16,0.01052756066746256,3.8245681150159037,0.0
146,83,1.1027872530356206,0.011469067774032726,0.014889001216166327,-1.945237390625047e-16,0.010388872933002401,3.824285507809084,0.0
106,83,1.102770232091208,0.012375828102045839,0.01579576154417944,4.1710618069798037e-16,0.011208475542097335,3.824884655896937,0.0
162,75,1.1027386161296395,0.011501103644214625,0.014921037086348225,-3.190171559222528e-16,0.01041771297971016,3.8243510631734687,0.0
157,74,1.102707290444003,0.011650920901307496,0.015070854343441097,-5.570630762230522e-16,0.010553564043189228,3.824298004626024,0.0
158,75,1.1026894757390076,0.01161417005532282,0.01503410349745642,-1.1023967296623037e-16,0.010520541487127371,3.824200997292377,0.0
