Symbol,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,Alpha_annual,R2,N_obs
BSX,0.0017972050454930662,0.8776796359436306,-0.8103096660489332,0.35797419908154565,-0.20409796278788622,-0.11889579619416205,0.021780919231841223,0.5133271972079076,59
BX,0.006582997490090449,1.473881959710381,-0.2243747497068335,0.7453223646497728,-0.6541983524645257,-0.6141970299833217,0.08191983741212239,0.6175200346473648,59
BXP,-0.019414349693838817,1.1184463607085562,0.369828401496027,0.8621946230541203,-0.338209312610934,-0.056581159480292215,-0.20963736048810677,0.6044731785462927,59
CHRW,-0.00527486398554106,0.8352375928955194,-0.11226158750539605,-0.11972637169044896,0.28649916603330416,0.31371400860530824,-0.06149388041476944,0.34888616880938594,59
GOOG,0.0042596337178368235,0.9561381461703702,-0.4640869309110582,0.23328897997799852,0.008158734515783816,-0.8745912869246981,0.05233030788026394,0.5402206352546213,59
GOOGL,0.004142302150639972,0.9452416179894298,-0.4433301243407242,0.233293225635037,0.03377986190749883,-0.878072897915386,0.05085588134957719,0.5393014435692762,59
LNT,-0.009562566233706712,0.6290826642432308,-0.28125318136075506,0.20408291446329052,0.3969257241203411,0.3334625984798623,-0.10890387579899663,0.4240606101615242,59
MMM,-0.0123041694909237,0.7731408292465519,0.5790382336690015,0.09351859539034305,0.7301627905106676,0.3943622921093964,-0.1380568052875587,0.5093269244766712,59
MO,-0.00444666075170672,0.8280512431008776,-0.26900463030066446,0.3085937731767504,0.04808921076318555,1.048892343839341,-0.052074075639353956,0.5540254491734946,59
T,-0.008417689731979398,0.6019670585169344,-0.20860482418978635,0.4393094899060615,0.26847329528207137,0.2803013093139356,-0.09646445003310689,0.37997661434803554,59
TECH,-0.010549864897309417,1.0742237411119377,1.3321559771854512,-0.9719555163180905,0.5532970377268117,0.7449696258518792,-0.1195048954627298,0.5321689849756621,59
XYZ,-0.01254808767212343,2.5740271681169173,0.16170555498922828,0.09238457806742771,-2.253556309513236,-0.343908278993036,-0.14060769124457873,0.721039893221531,59
C,-0.012118663472054793,1.3251690595547676,-0.13766769608561727,1.4757855279095162,-0.39267269977785135,-0.8446332720036881,-0.13611214677825978,0.7577856167875799,59
CAG,-0.009279592148711586,0.3193846161945516,0.2624793899470625,-0.37644297459911524,0.5312856216733441,1.1689693870866513,-0.10584397056914041,0.2860071635485719,59
CAH,0.007969464420332693,0.7259165888561705,-0.2118409579031861,-0.011692366009007908,-0.2990136151369568,0.6525774048574646,0.09993876654584599,0.2618063615930609,59
CARR,,,,,,,,,59
CAT,0.006172825322619604,1.0813896041410258,0.11756919390842192,0.3460806560170183,-0.2237033746206399,0.4959646832977826,0.07664122443776233,0.5214278463281664,59
CB,0.0027973034195777216,0.6344779140293209,-0.1337006071727835,0.9134157874522403,-0.09249214729704759,-0.42704262398649767,0.03408893080350639,0.48668144099647215,59
CBOE,-0.0007831188444493101,0.5735338406041822,-0.030524650991204192,0.4401281140283034,0.25747266120210194,-0.6239741672593861,-0.009357055448039997,0.3842270379910867,59
CBRE,-0.0032871687747168614,1.089238215731458,0.7894686653866742,0.992424897076049,0.45567566775975044,-1.0141666563455933,-0.03874062049446603,0.7704667190822353,59
CCI,-0.01849956420826792,0.8724361078048996,0.15401960350793467,-0.4135434745091954,0.26303773632925753,0.5783364698985872,-0.20074389696473827,0.3546509615193483,59
CCL,-0.03147196913008197,2.6288478443192314,-0.20417037570224267,2.189195417998785,-1.3346972658618548,-1.7336163684318733,-0.3186875366726649,0.632586847840439,59
CDNS,0.012088840050389519,0.9827418984563943,-0.15488542950347717,-0.5901976246833683,-0.000209397331314967,-0.38250937418245556,0.155110769240683,0.6299767519355117,59
CDW,-0.008346579321751816,0.8424651354446371,0.06601602484935326,0.3855996857743696,0.4998356764999657,-0.712325917793291,-0.09568658865404311,0.48958789164572103,59
CF,0.004194968969903967,0.9424212536405282,0.4938945235590884,0.5738115237206156,-0.330418241358218,0.5598042388415867,0.05151747528937256,0.44620774441346867,59
CFG,-0.005616796604870219,1.1209316227050228,0.8422886099685745,1.854558496015635,-0.3000495808445049,-0.9188255916402431,-0.06535786052533687,0.8476444467700296,59
CHD,-0.007168669479319457,0.647755589326804,-0.2604109629937311,-0.36996338345767316,0.648175773571475,0.8166852896854181,-0.08271206037286816,0.44492246311943184,59
CHTR,-0.02475432862819834,0.9283012206999569,0.7567665469823915,0.07843432649900572,0.9252562774848739,-0.017683101619306824,-0.25976711218317317,0.38125724817651674,59
CI,-0.0030536955974956852,0.4098587088431002,0.7553364271138105,0.11523466972367369,0.5415322536566921,0.8148455147229547,-0.036035115281685126,0.3456098857633412,59
CINF,2.82656639544572e-05,0.7970592797515896,-0.47112909386861523,0.8882104087581287,-0.6608614044307233,0.12209177774294147,0.00033924070297497444,0.3892151281679237,59
CL,-0.005369002203382575,0.4589897379142562,-0.11795296519776244,-0.08007918016016012,0.5155095831357352,0.4865318885897001,-0.06255913937146007,0.3998650434185592,59
CLX,-0.004471362293254836,0.5791975091550696,-0.2071867567489417,-0.6577576355942198,-0.23339262026645055,1.218883063658385,-0.05235627492186279,0.2582623831496834,59
CMCSA,-0.015504618215280548,1.0222821748142488,0.07421579701637836,0.09071626025252642,0.2565915068808471,0.4213450656586705,-0.17098154477565308,0.5278541294985433,59
CME,-0.004334880586656285,0.5632577926530111,-0.1409285738898904,0.25545539834982894,0.016190728066901822,-0.21113931700185712,-0.05079609560092624,0.2923669205420034,59
CMG,0.005287915701192301,1.301486375371279,-0.2448889195097702,-0.6602688733890714,-0.03836068298635284,0.24215260331156674,0.06533340361525708,0.5778124886778164,59
CMI,0.00457940414697792,0.9499209212513107,0.0035359403832717034,0.42236003283336915,-0.30112521743399934,0.14535021640447068,0.05635827882563582,0.5645826959742097,59
CMS,-0.0072904551674756405,0.4592566467102281,-0.2550005877009637,0.012720820980250345,0.2494109271393851,0.5541790438134881,-0.08406137966949834,0.2802079583125904,59
CNC,-0.012172991193959351,0.4234172417447505,0.42619551769162944,-0.24741898735528697,0.6986346673585554,0.955330202965716,-0.13668207999796278,0.2157201204379855,59
CNP,-0.010840736328278582,0.967426553350543,-0.3365043507726798,0.5894064449491739,0.4413062289157435,0.030981960312288965,-0.12260597766362014,0.5578691205958128,59
