Date,Port_Ret,Excess_Ret,Cum_Excess
2020-01-31,0.0,-0.001249707710897,-0.0012497077108970522
2020-02-29,0.016317105160372103,0.015297838576642703,0.014029013038916238
2020-03-31,0.003997977071836731,0.003972980509236709,0.018057730543520556
2020-04-30,0.013513577352139344,0.013438608268884239,0.03173900957940412
2020-05-31,0.015249463157941477,0.015142859012865178,0.047362487939538234
2020-06-30,0.012517941079521838,0.012405510624453038,0.060355554411325674
2020-07-31,0.01880212466694894,0.018732984301121216,0.08021917836571979
2020-08-31,0.004459458449520885,0.004380326233425762,0.08495089077056472
2020-09-30,-0.0038341593455187457,-0.0039049650990870717,0.08071419540788227
2020-10-31,0.012201379872395475,0.01213223950656775,0.09382567886471826
2020-11-30,0.01635942634826787,0.016296947819872065,0.11165169887721271
2020-12-31,-0.0014032874506364652,-0.0014574379848628811,0.11003153546533162
2021-01-31,0.03288439534590838,0.03284440414286306,0.14648985982747775
2021-02-28,0.001596305108030327,0.0015671431190129592,0.14828657352232444
2021-03-31,0.02209568018015466,0.022084847492030366,0.17364630737571107
2021-04-30,-0.009107459446484566,-0.009109959412131951,0.16295443715131985
2021-05-31,0.010657866141395914,0.010651199718844599,0.17534129712533497
2021-06-30,0.006634827893869148,0.006601500670830533,0.1831003134867626
2021-07-31,0.00993155701459373,0.009898229791555115,0.19481091225611546
2021-08-31,0.004592385943044196,0.004559058720005581,0.20025812536439447
2021-09-30,0.010396766355752846,0.01037343601560839,0.2127089262300761
2021-10-31,0.018999418902448037,0.018959427699402717,0.23570119343735563
2021-11-30,0.023853575241258515,0.023813584038213195,0.26512766765339646
2021-12-31,-0.0004658594835775312,-0.0004933553249301739,0.26450351018184315
2022-01-31,0.0004154558377491395,0.0002714033628997395,0.26484670068690486
2022-02-28,0.030452740438440404,0.030213056667054206,0.30306158572989483
2022-03-31,0.015929129308322097,0.015519221373093297,0.3232840869416109
2022-04-30,0.005477233174551881,0.004806380598684481,0.32964429390363503
2022-05-31,0.01228814052508927,0.01143383279791607,0.34484722444083227
2022-06-30,-0.001920272368073607,-0.003243926742163107,0.34048463856534483
2022-07-31,0.0265553449975928,0.0246602234046192,0.3735412892228265
2022-08-31,0.017168832218164804,0.014816181289705604,0.39389192597284794
2022-09-30,0.018952063947927082,0.016339920691637984,0.4166680094959587
2022-10-31,0.027789736786683145,0.024536096926795245,0.4514275130900416
2022-11-30,0.010169348844662099,0.0066924476336564995,0.461141115715445
2022-12-31,-0.004886418655279522,-0.008368934868575822,0.4489129208842242
2023-01-31,-0.009708954905603438,-0.013439773754099937,0.4294398590381483
2023-02-28,0.023775243453020244,0.019932509120181446,0.45793218206517694
2023-03-31,0.010324653125374892,0.006581836860081692,0.4675280538405928
2023-04-30,-0.0015638067233837063,-0.0055765496756644065,0.4593443107479196
2023-05-31,0.021989886339848955,0.017718348770182354,0.4852014822215327
2023-06-30,0.012981065111568185,0.008785099490219885,0.49824912500587093
2023-07-31,0.005173817086871294,0.0009022795172046938,0.4996009645030335
2023-08-31,0.024216381071868853,0.019905094243753252,0.5294506630294897
2023-09-30,0.021832450183701172,0.01751957347227477,0.5562459862926543
2023-10-31,0.015697557809764204,0.011368786440225005,0.5739386145592729
2023-11-30,0.0019063691014750833,-0.0023572163118501166,0.5702285007831829
2023-12-31,-0.007014731238920574,-0.011232181467613874,0.552591409316767
2024-01-31,0.01694645345944222,0.012722638082941821,0.5723444679081886
2024-02-29,0.03370622313986134,0.029454566880676637,0.6186571931976523
2024-03-31,0.013844086995878552,0.009608338827058853,0.6342097999547516
2024-04-30,0.019035514931890762,0.014766363088068562,0.6583411352229633
2024-05-31,0.019774799792974255,0.015505647949152055,0.6840547890453277
2024-06-30,0.004599029888661436,0.00035532751780133643,0.6846531800533608
2024-07-31,0.0019862302198231097,-0.00219540977344769,0.680954675997002
2024-08-31,0.014050237253953341,0.010001617379844141,0.6977669414991838
2024-09-30,0.004264797093681607,0.0005915883485349068,0.6987713206403026
2024-10-31,0.012309955302977385,0.008689587760461685,0.7135329431159616
2024-11-30,0.028112994579219716,0.024539889813158317,0.7555828527312443
2024-12-31,-0.010620925960003903,-0.014040859402137503,0.7309329607272415
