Symbol,Our_Beta,Yahoo_Beta
CME,0.5822490849767985,0.427
CMG,1.2163988409907815,0.994
CMI,0.9323786798837972,1.038
CMS,0.4170884474068306,0.399
CNC,0.4495866207936369,0.476
CNP,0.985047706973777,0.556
COF,1.510848108800689,1.182
COO,1.0046438273450862,1.023
COP,1.2314906604204674,0.635
COR,0.4674306964332452,0.629
COST,0.8011480210224264,0.964
CPAY,1.2770368288567215,0.971
CPB,0.1812544987296233,0.023
CPRT,1.3098590791091738,1.034
CPT,0.9968594168541328,0.808
CRL,1.364482672174112,1.503
CRM,1.2479235757091267,1.195
CRWD,1.0503826800951497,1.188
CSCO,0.8162156338270583,0.966
CSGP,0.816741803938039,0.874
CSX,1.2033187228817075,1.286
CTAS,1.3781810412944215,1.002
CTRA,0.2016474221128728,0.27
CTSH,1.0449908290839085,0.945
CTVA,0.7734275723059906,0.765
CVS,0.5939865991361872,0.609
CVX,1.0579250729953311,0.813
D,0.604812441746463,0.609
DAL,1.3914598429594471,1.503
DASH,1.052029515464706,1.706
DAY,1.295256361628588,1.175
DD,1.287544067969575,1.07
DDOG,1.1036639953817424,1.214
DE,0.9652949995114628,1.031
DECK,1.0606025291731238,1.054
DELL,0.8917208479804923,1.126
DG,0.4407904671814347,0.308
DGX,0.887968350952928,0.563
DHI,1.7415247923396182,1.397
DHR,0.8270434733153549,0.802
DIS,1.4083275170476113,1.542
DLR,0.6700602210026967,0.974
DLTR,0.8653171563246865,0.858
DOC,1.1330069780816086,1.066
DOV,1.211268412971687,1.259
DOW,1.166717889743741,0.857
DPZ,0.9057469430230208,1.121
DRI,1.3744653030289176,0.764
DTE,0.7189618124612318,0.422
DUK,0.4753574800861684,0.424
DVA,0.8520228079674218,1.124
DVN,2.09798806602598,1.08
DXCM,1.0482900013187704,1.476
EA,0.7850246516199687,0.767
EBAY,1.2813923177485158,1.305
ECL,1.0946462971155564,1.096
ED,0.3710741063936568,0.309
EFX,1.5262042031057372,1.675
EG,0.6450885292158256,0.472
EIX,0.953306747470676,0.805
EL,1.010991636742166,1.157
ELV,0.7990365729239975,0.59
EME,1.0625811831406935,1.243
EMN,1.46949024851101,1.298
EMR,1.3029756963194958,1.279
EOG,1.3699294465417131,0.76
EPAM,1.5534853049144528,1.655
EQIX,0.6893366320475558,0.907
EQR,0.9538670153908256,0.911
EQT,0.8476709169613129,0.499
ERIE,0.4461162306390012,0.297
ES,0.6426331881265253,0.678
ESS,0.947482392062986,0.823
ETN,1.0036163594442762,1.172
ETR,0.7093172709167805,0.605
EVRG,0.6318937658571968,0.551
EW,1.0776674637526589,1.047
EXC,0.5456742538447003,0.486
EXPD,0.9635661883353636,1.076
EXPE,1.845521302325813,1.563
EXR,0.9193237422750288,1.113
F,1.7078141321378697,1.542
FANG,1.8884280027251197,1.015
FAST,0.9959326789233568,0.94
FCX,1.8505434551954507,1.582
FDS,0.7490400471168228,0.786
FDX,1.2187165814041934,1.288
FE,0.4880395280280682,0.498
FFIV,1.0084660313858105,1.063
FI,0.9023657913235784,0.95
FICO,1.3356498120300275,1.352
FIS,1.029679789035202,1.06
FITB,1.3351904309460494,0.966
FOX,0.8360205482007264,0.543
FOXA,0.782510854234619,0.543
FRT,1.3229093381290422,1.163
FSLR,1.376911932604075,1.379
FTNT,0.9974930898042688,1.098
FTV,1.1294801946960855,1.128
GD,0.627767145997792,0.484
GDDY,1.06284034072224,0.978
GE,1.193561166987006,1.493
GEN,0.5944559503427408,0.934
GILD,0.1781464270514402,0.354
GIS,0.0975536985499895,-0.025
GL,0.818995549827421,0.552
GLW,0.9926626208268484,1.131
GM,1.4584246558189085,1.336
GNRC,1.360661947987347,1.644
GOOG,0.9959561659475956,1.0
GOOGL,0.9906412686190174,1.0
GPC,0.9519273113632564,0.772
GPN,0.9964009865493432,0.982
GRMN,0.9820591637873785,0.988
GS,1.3361552765664766,1.415
GWW,1.1086833518933883,1.165
HAL,2.0868694673739925,1.022
HAS,0.6760369122742548,0.597
HBAN,1.1323100223725575,0.979
HCA,1.619389495633726,1.407
HD,1.027396353814372,1.001
HIG,0.9777317624999068,0.68
HII,0.5464602010837655,0.371
HLT,1.3023741488553795,1.189
HOLX,0.952113756520761,0.627
HON,1.009079629347977,1.049
HPE,1.2020597276395844,1.458
HPQ,1.072130094106725,1.3
HRL,0.2763262223824642,0.296
HSIC,0.9106910258042734,0.812
HST,1.326030293411203,1.379
HSY,0.3696665153479385,0.249
HUBB,0.879320870455647,0.959
HUM,0.5189866699253779,0.425
HWM,1.542291282175452,1.454
IBKR,0.8372648499055964,1.217
IBM,0.6934426453517178,0.724
ICE,1.0881615976942585,1.085
IDXX,1.3458250020453475,1.578
IEX,0.9307706671509854,1.036
