Symbol,Beta,Alpha_monthly,Alpha_annual,Corr,R2,N_obs
AMCR,0.8589282484652749,-0.007262449505713294,-0.08375125333481392,0.6791315587192434,0.46121967404842906,59
AMD,1.6296625307848536,0.0006889056126475803,0.008298262394273115,0.5921454815090318,0.3506362712715631,59
AME,1.129900193731338,-0.00021904262982904224,-0.002625347210457485,0.8561599921329642,0.7330099321291174,59
AMGN,0.5042308245024917,-0.00037705881298815335,-0.004515334098556978,0.3833126595274111,0.146928594953977,59
AMP,1.3415037964219465,0.008387040568469313,0.10541936326491941,0.8141346223991534,0.662815183389012,59
AMT,0.8566298607776699,-0.010907498066940548,-0.12331633377853957,0.5993411580451323,0.35920982372688026,59
AMZN,1.1032573847804572,0.0022200109538400604,0.026967828188366294,0.638300382549737,0.4074273783631406,59
ANET,1.0347096247240648,0.024606177880497168,0.3387011658602932,0.522395762872252,0.27289733306688213,59
AON,0.9367510593440621,-0.000692897869396779,-0.008283160412994484,0.651176372918359,0.4240306686471097,59
AOS,1.1420215750523954,-0.0018642342393019352,-0.022142855895516678,0.7126133905558363,0.5078178443994849,59
APA,3.217734910590847,-0.029537669655231902,-0.30217875274786954,0.5524044345060365,0.30515065926193397,59
APD,0.8334814972812252,-0.003606655161479336,-0.04243157455650115,0.58355312965833,0.3405342551340316,59
APH,1.2016767944432798,0.006374076401939143,0.07922822012216635,0.8639571272651765,0.7464219177522964,59
APO,1.5493706012100075,0.009073986448011164,0.11448986753354262,0.7383975318256321,0.5452309150061853,59
APTV,1.7433770605853212,-0.021918971035048508,-0.23352494721663697,0.7222858148806169,0.5216967983777568,59
ARE,1.1635396463432814,-0.01757992038696135,-0.19171082079251867,0.7495773860822087,0.5618662577258365,59
ATO,0.691421390327352,-0.002578875869292414,-0.030511322214269332,0.6186348382889951,0.38270906314485115,59
AVB,1.029895330461184,-0.007351705999495304,-0.0847393177636403,0.7546955414185573,0.5695653602370494,59
AVGO,1.0638699391681665,0.02601966957117357,0.3610316961161957,0.603543605924845,0.3642648842527646,59
AVY,0.8874996504003888,-0.0019441355955997297,-0.023081778924631036,0.6641336796041294,0.4410735443845204,59
AWK,0.7079151399693063,-0.007814225340907628,-0.08984375523505561,0.5793451151320683,0.3356407624273895,59
AXON,0.9451721390731217,0.024943819661627377,0.3440045291846303,0.40656206720713123,0.16529271449173588,59
AXP,1.2278037006395919,0.003136592122362279,0.038295264349822666,0.7385995043250363,0.5455292277891893,59
AZO,0.6842203806643805,0.011159481408313549,0.14244657999131793,0.5298699257806689,0.2807621382468116,59
BA,1.5965484361958855,-0.024884221494896844,-0.2609493443658656,0.594145474114929,0.3530088444112538,59
BAC,1.3495633257038124,-0.006070902469114689,-0.07046690180974513,0.7647045885978666,0.5847731078226324,59
BALL,0.9258304034487274,-0.013272722638080613,-0.14814513211605052,0.5804345213027815,0.3369042335199891,59
BAX,0.6081965956853767,-0.0242470987037162,-0.2551338895681312,0.4252877694263168,0.180869686823612,59
BBY,1.4230490636400992,-0.010406424837097833,-0.1179719346797583,0.7195794642049778,0.5177946053055229,59
BDX,0.4039710749051442,-0.007032202302327629,-0.08119791347287597,0.3748031381223418,0.1404773923463552,59
BEN,1.4634000901789932,-0.013948540400905858,-0.1551201285900493,0.7557416598192747,0.5711454563863922,59
BF-B,0.7359250354479467,-0.016601255391295373,-0.18199530848886136,0.5841415016320874,0.34122129392899003,59
BG,0.7088101768900194,0.0013007004931758137,0.01572055169664721,0.4349974830393451,0.18922281025056534,59
BIIB,-0.04373029816224046,-0.011246089208084903,-0.12691089033956615,-0.02707765979017296,0.0007331996597123494,59
BK,1.056399083797476,0.0011303168641370511,0.013648443553631928,0.7388559930266333,0.5459081784313724,59
BKNG,1.3711137791850432,0.0038409438144706744,0.047077588503662504,0.7546251374089882,0.5694590980095343,59
