Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs,Weight
CARR,0.0033095302675763415,1.0811743448184454,0.5987685303364062,-0.26017368104358574,0.7560008472839936,0.254821036142764,0.4694891937283755,0.4260047014110292,0.004530484764475104,67,0.08180135917350298
BLK,0.007456741831823247,1.1139110101931327,0.3951266210097658,0.07653112676455291,0.3404191867175911,0.40843860367929513,0.35737627972138264,0.3468758921351307,0.0048619716448407525,312,0.08180135917350298
AWK,0.0050571958144373,0.475861996393535,-0.04347529409650919,-0.3904279565545371,0.3440573962367457,0.6314275872058662,0.16485318112090563,0.14438389634445725,0.0025358514836483193,210,0.08180135917350298
ABBV,0.009001128991616782,0.7286451309829193,0.057255762443529964,0.08373787242434731,0.14325195742239966,0.524361530773287,0.19706264724078137,0.16975185292924333,0.0045610019970509525,153,0.08056643477543274
DHR,0.006057069302055078,0.9654906748932877,0.14101553000526584,-0.122590651535978,0.5866022897758408,0.05552926098013714,0.29804539423590015,0.2897480584703671,0.003917326998611933,429,0.0742405996498625
POOL,0.008498507747272607,0.9930948602662013,0.7675727093115471,0.1724628616763074,0.71421944281798,-0.025282828559531803,0.2957809088327569,0.28583431149988614,0.00618294448617424,360,0.06807836441700922
HCA,0.005325115633220224,1.3895847575299516,-0.03800403022321165,0.22959358266448127,0.1870617726271373,0.2268220056582021,0.3763725227979896,0.3579220057210071,0.005972891767754431,175,0.06802035281292075
MA,0.011530415152635476,1.082562028728372,-0.11246882193651879,-0.27757304777720543,0.6166016547609194,0.17584804596206371,0.3235216530472039,0.3086212489293009,0.004659368978386248,233,0.06455910594836475
BRO,0.007847643515132664,0.6114046122343879,0.06208718035959372,0.256956442957268,0.21694864668895988,0.06549245169473202,0.15000893370041257,0.1399617579758312,0.004102579362821038,429,0.05934948654123205
VRSK,0.002364281041995396,0.6615811209717204,0.006682715679267212,-0.5070525530848404,0.5612734412842904,0.09347414566950808,0.30058486194953526,0.2817833797438777,0.0024211620368276036,192,0.05784413065849911
V,0.0064709142993060595,0.895540709833872,-0.25897889094443627,-0.0912063873620334,0.36488453053422054,-0.10743966369950782,0.3904695444605192,0.37560294798394656,0.0025521893106517117,211,0.05701505251254845
AZO,0.007784262697424451,0.6846178605224559,0.35155403371555294,-0.00855428258138953,0.8564905487378836,-0.059897408036093336,0.15688511802389293,0.14655282780359757,0.005479518706992834,414,0.056945529516032906
EXE,0.010874662033532802,0.5729013105767342,-0.38634400846289896,0.5102154256156095,-0.18155508131832773,0.4019335517501728,0.17822836700238853,0.09605120370262743,0.005930126310384307,56,0.05023683557464387
ORLY,0.009794750729189507,0.7691199659161829,0.37194446881473786,-0.06751081342445418,0.664213251033779,-0.052019755318282734,0.16701037059873636,0.15616415146590734,0.00598278820493543,390,0.04522583078557891
UNH,0.010145357275687971,0.8690010120888556,0.27149608282504883,0.0032633341918752337,0.6486931408217884,-0.1196799210222861,0.18876819400675782,0.17917916556712132,0.0063951523660454885,429,0.04204007697799212
HWM,0.015323641215191275,1.4937571851363884,0.10346865876118175,0.7452007514273858,0.1414412054268113,-0.375569619711048,0.43130869677232964,0.4031556619590786,0.00838857314595135,107,0.04021168030630914
JKHY,0.013616121485675765,0.7205173594590162,0.5993423149591511,-0.3396691540172096,0.16269085579626746,0.46560894569698474,0.15075977885742864,0.14072147837110993,0.007922130425144258,429,0.03574789036755945
CDW,0.005514706890810158,0.9356837485187647,0.06064140640787954,0.3467213098885298,0.3378877473745091,-0.6347110694351097,0.4230979265097058,0.4027844732177941,0.0029429817892496274,148,0.031216165419917934
APO,0.004595945407797805,1.5394671950275387,0.06522042366613912,0.2459882117468956,-0.09834663441801476,-0.3071277297645382,0.4500514157470267,0.43378074757386176,0.005873868434758837,175,0.031051198700599504
DELL,0.013563598526656843,1.0159035403746406,-0.5392891534551874,0.1329765747091762,0.2562257231591521,-0.01638928169144869,0.24431648070218592,0.20798554227440635,0.006746181650472354,110,0.03100999805019474
DLR,0.007984080110216733,0.7627106240722198,-0.03380417120434437,-0.34276964106173713,0.13538748209556895,0.1637468834214039,0.2078754426375925,0.19177535000827517,0.004141848891917138,252,0.02969268638132088
FICO,0.012783332207131409,1.1325576624396416,0.5172884461699662,0.013003381770574793,0.029419481086240748,-0.024993845578994558,0.2649823555740478,0.25629420374868195,0.008591063872649527,429,0.026147941242423825
KKR,0.0030573265399196615,1.6059814397506407,-0.06727088083049895,0.33161802233041465,-0.24976628383690092,-0.541490567908039,0.561240730630619,0.5488464009874161,0.004100878288507279,183,0.02056959587296691
VST,0.016348604898997157,1.1973582549329023,-0.24331599421502742,-0.2780140453723314,-0.11207169029895056,0.33744630055886476,0.23099547722193958,0.19329917708576005,0.009861722044565239,108,0.020251257238257617
TDG,0.015258285459717554,0.9370423769952588,-0.04122960263916238,0.13785229302858343,0.16479818236834365,-0.32615848364275546,0.2705850142455293,0.2546589228535103,0.0051752757682249515,235,0.0198666900928382
APH,0.012215976505670507,1.231258271900293,0.07069015500415624,-0.30404880879682233,-0.24106278287500085,0.06405256455234835,0.347856499901973,0.33972503481346883,0.006528435620465849,407,0.01433841467046405
BR,0.0054137846679573635,0.849996660984385,0.14083531717007636,-0.1458557348131493,0.28822432993757346,-0.36859379255058217,0.351413541725906,0.3364691532864108,0.003250646081899432,223,0.013238403424890676
AXON,0.032808598317414686,1.0115034249120656,1.9189530153335252,-0.9217328389895146,-0.9169231067400903,1.3214825351433745,0.20650755473501392,0.1926353091884233,0.029684519351154893,292,0.011670512281061439
ANET,0.018052392008890396,1.2452014808502103,-0.10345884173342025,-0.5675885201452895,0.16812757898046427,-0.15285909079337384,0.27573059361988783,0.24787407798988348,0.009822038403318072,136,0.003047520020139648
META,0.009269696520858765,1.193977544152783,-0.30086909191307043,-0.6035018125942957,0.09674457476560518,-0.036233809198039674,0.23774823559962965,0.2131594690060693,0.009473424904439923,161,0.0024141682404297273
CEG,0.043063961453960305,1.1339156083926045,-0.6355068376264317,-0.7873362033436911,-1.1033525731206366,0.7476651598722749,0.24536403579789,0.1486158352591579,0.015149117619372201,45,-0.0019451743383220306
MSCI,0.0064486569637547215,1.1304673484952559,0.3151301137456543,-0.4095269043727991,0.20907154230597033,-0.45667955568757246,0.4652079880406783,0.45241392076892417,0.003963155971902487,215,-0.002290408570408896
AVGO,0.02032131052050381,1.055170206636807,-0.07490112677793147,-0.39134969174598644,-0.1903042133758183,-0.13360362177584625,0.27635600932624993,0.2571101585104587,0.006048422679363171,194,-0.0026884098922286192
NVDA,0.032148813081330406,1.7810836871771853,0.04100326910840989,-0.8606115378042242,-0.9634186546349099,0.14193707861281096,0.3432057782925667,0.3327804731860995,0.020298783195289143,321,-0.002822002256060899
TTD,0.027200107045684766,1.564332813390782,1.6073253062996076,-1.8462847408213254,-0.08958799130181494,-0.0942368364207611,0.3295931827649129,0.2970491625107825,0.028247913431325915,109,-0.003019400120076732
