Ticker,Beta,Alpha,R²,Adj_R²,Std_Error,t_Statistic,p_value,F_Statistic,F_pvalue,N_Observations
A,1.6229851261549948,0.0007778730379632368,0.3725109410457611,0.37048678279106995,0.1196374796134041,13.565858553686521,3.1403624340095555e-33,184.03251829862978,3.140362434009558e-33,312
AAPL,1.2684755777152945,0.011933745917097508,0.21900898306307917,0.21718423769640416,0.11578499481631918,10.955440121818883,8.678717885624864e-25,120.02166826275898,8.678717885624567e-25,430
ABBV,0.6872483492562522,0.00919108785712485,0.1569085479800132,0.15136189369040798,0.12921292349323196,5.318727652596217,3.6722149143685797e-07,28.28886384249167,3.6722149143685913e-07,154
ABNB,1.2062041868536082,-0.010972144312101424,0.23054299491795355,0.21704374921475977,0.291876827649907,4.1325794739019,0.00011887779085390234,17.078213108115307,0.00011887779085390287,59
ABT,0.5291284093042834,0.005721116482525607,0.16633576008141876,0.16438794643674925,0.05725876388217882,9.241003008606146,1.1552065216229649e-18,85.39613660506787,1.155206521622924e-18,430
ACGL,0.39326133559384435,0.007426510808001963,0.07908618962029842,0.07652809570257701,0.0707276399190052,5.560221379423848,5.258434257454395e-08,30.916061788202043,5.258434257454862e-08,362
ACN,1.0989229623628451,0.003954820293186135,0.4545494705942716,0.45266860669976916,0.07068957244722657,15.545757660130823,4.6702215882046814e-40,241.67058122751615,4.6702215882046455e-40,292
ADBE,1.4794883292967294,0.007030970068043747,0.2603858210277519,0.2586577505161345,0.12052679482672222,12.27518189149347,6.957473068520093e-30,150.68009046924917,6.957473068519955e-30,430
ADI,1.6307618695133819,0.005400425275904983,0.38059518521873886,0.3791479777075676,0.10055977830586199,16.216840341008577,1.8908792001866455e-46,262.98591064576317,1.8908792001867283e-46,430
ADM,0.5711701871947291,0.0028157774259055055,0.10597613598950059,0.1038872951857378,0.08018888261159986,7.122810152639607,4.507445039532839e-12,50.73442447054587,4.507445039532816e-12,430
ADP,0.7785167387127249,0.004460412192515585,0.32742613575561913,0.32585470149336604,0.05393359781919198,14.434726593294206,9.177290403663724e-39,208.36133182315496,9.177290403663652e-39,430
ADSK,1.5946187761656991,0.0028171101600112693,0.33146032760330885,0.32989831902294275,0.10946689596674578,14.567132484053607,2.5174002817531026e-39,212.20134880796988,2.5174002817531114e-39,430
AEE,0.3167541382471346,0.004568591034742684,0.07760007099469667,0.07482175795552415,0.05993518176327239,5.284944984370399,2.2825921788916362e-07,27.930643487821833,2.2825921788916373e-07,334
AEP,0.3084202030476504,0.004377089061951143,0.059503711232331405,0.05730628999689291,0.05926897964096311,5.203737349891698,3.036643909274224e-07,27.078882406657872,3.036643909274172e-07,430
AES,1.408324370178336,0.0010082352873645797,0.2191511137410145,0.21725123810534785,0.13112739700024925,10.740122982656773,6.96997192703062e-24,115.35024168259224,6.969971927031233e-24,413
AFL,0.9890794058264453,0.0060570239220460375,0.2765226566881614,0.2748322890636009,0.0773314906878318,12.790124657225547,6.017715096473227e-32,163.58728874736886,6.017715096473147e-32,430
