Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs,Weight
SRE,0.002983980028751223,0.585835041390889,-0.014747683774866549,-0.02254074486545477,0.34548685894269027,0.5367422093765117,0.19799703474221753,0.18558212815927977,0.0026948432861119845,329,0.00778202835451429
KMI,-0.002680487859878137,0.8126021511690998,0.2417518743703949,0.38869658685219544,0.09624663628399856,0.5664203212646683,0.3543588277992086,0.33548043095123226,0.0034031193757765492,177,0.007387707267046404
AME,0.0006135626212080889,1.0845987340058805,0.33766562358175306,3.305903915768009e-05,0.8219803152298932,0.3163014893459802,0.39208501126591033,0.3849162024364988,0.003301723282659601,430,0.00738711192160777
O,0.003840641086971226,0.5430874560048913,0.38157743383497356,0.09541636297737761,0.38249908566273094,0.3104702574692557,0.20832700594188402,0.19754127032801327,0.002799879608056004,373,0.007379715605672659
T,-0.0007032400012096795,0.7858023504024197,-0.37953101218027807,0.025019515316264892,0.2853597705927075,0.7548245771541032,0.2679243223610194,0.25929135446433327,0.003011210996202001,430,0.007361508068617706
PEP,-0.0002115725734175271,0.7779650121065147,-0.20281967898592126,-0.18524571797687586,0.5068604944367986,0.45328953480763223,0.32433521181464164,0.3163674666709464,0.0020284676899641665,430,0.0073372776384785544
KO,5.705399036985739e-05,0.7430986634617844,-0.24275639490475626,-0.14459231957251573,0.5540019807533209,0.4943775464590056,0.2863655602777364,0.27795005980931353,0.0023228214836480657,430,0.007314610061573066
AEP,0.001182619843913194,0.5021345517766238,-0.27117945870035354,0.1788478072120298,0.23516926187419732,0.5602755448926492,0.19442315276596878,0.18492342579386944,0.0024985823136856036,430,0.0072999735262977246
CTVA,0.005888064383011808,0.7339193117063011,0.4791553553267059,0.20657398364532253,-0.017730625513383905,0.5416988469833298,0.4271726558359352,0.3873929791578752,0.003399369868288327,78,0.0072479237071450585
HSY,0.0036440837674515687,0.3449508512655778,-0.05422184900401521,-0.06846087158231247,0.5263657773836304,0.5252004123011008,0.09943009501437938,0.0888101668895489,0.0031835021517951315,430,0.007224754524566693
SWK,-0.006608352602580356,1.2416347225177116,0.47929132584389783,0.3664796423443406,0.7777150579915206,0.30280779211151104,0.43859836641271366,0.43197806412984474,0.004025187345595826,430,0.007183971812122992
XOM,0.00047973579506677664,0.7174687594716077,-0.01776610213825005,0.35021078103626174,0.1619342465649768,0.39343517702640857,0.31031472385963466,0.3021816427730738,0.002323325859013351,430,0.006906337435743301
EIX,-0.0006047603670776869,0.6191354731889884,0.07558022307232809,-0.14622041895836002,0.3453304778881892,0.8235766910986428,0.1260617646396659,0.11575588922268076,0.0046925678962543155,430,0.006804910587494677
CPB,-0.0024101083033498615,0.5615552061502842,-0.14395233137904206,-0.009522916878688519,0.4718874748611707,0.5467108599465168,0.15742740955253287,0.14749141202367133,0.0032333291403698365,430,0.006611536152171539
DUK,0.0021512691775622747,0.46850886182984164,-0.3214181861487177,0.1106947677547802,0.16283215944871005,0.585324437667333,0.16345865455983732,0.15359378020323156,0.002653162762505427,430,0.006353398394809934
PEG,0.0016255791200505932,0.5699273637928923,-0.2360146235772082,0.06311860749086472,0.3213912220735141,0.5283897342442696,0.18161301301547828,0.17196222307462306,0.0027835568407396294,430,0.0063278373664351194
BDX,0.0028380163320325985,0.6526078820692587,0.09789851579660294,-0.3166042138815797,0.11056647763289755,0.68453603761593,0.17537293221790473,0.16564855641858767,0.0034808296660247258,430,0.006239426179378529
KR,0.0018382912080456744,0.7449454161347443,-0.05936532053028248,-0.24067264846758699,0.5331522195821216,0.7612719379030838,0.15904467485651086,0.14912774885246038,0.004719012218839175,430,0.006227811819004851
DOW,-0.015927814677167945,1.045777234612669,0.3979980781150255,0.6480431437612262,0.5292354565936972,0.17592390946761563,0.5974877728512258,0.5702910007465789,0.0034993035920070728,80,0.006202817355252033
AOS,0.0024573433028681375,0.9832275060694593,0.7793141701193322,-0.04864689447182987,1.0152746249831817,0.39173834230943877,0.25925453783403574,0.2505193319122673,0.006408222609001801,430,0.0061348115237942705
SJM,0.0006673162482222296,0.4212581466543639,0.3041609213565474,-0.12799121655479065,0.39980806296771526,0.42117101875022755,0.0987805115170397,0.08650231685105925,0.003650695100311109,373,0.006070961444561206
KHC,-0.010474135714004443,0.5772843023901698,0.11303523383753557,0.2800632246319563,0.3819787478249951,0.6174817864069223,0.21547270533179985,0.1822300233543337,0.004905551069251594,124,0.006020944993708068
PNW,0.0017337278346770974,0.5638694006809465,-0.03492935821264084,0.09217294320735239,0.3151570739025077,0.5656414636275511,0.14001798105010488,0.1298766836568278,0.003738355037436689,430,0.005994217480216651
ED,0.0019189202855708445,0.3201207633996116,-0.2420778558108245,0.12480587010585369,0.43285945398422715,0.3561089874409928,0.1499445791045363,0.13992034065058034,0.0023383341723794107,430,0.0059367491125002355
ROL,0.005510142303260268,0.5329829539300447,0.4035282831236841,-0.2943258169397936,0.4912010276436666,0.38361424579067976,0.14247729816932508,0.13236500215717095,0.0036993207296644815,430,0.005908354982711777
NI,0.002624413295278394,0.607380652621211,-0.37260372712630146,0.3386251501343309,0.22395460354976668,0.47402433406090316,0.26685915380290215,0.25821362495623834,0.0024697266822903186,430,0.005880258870294611
ROK,0.0011020552826959736,1.3153691148787745,0.5651042506983192,-0.35408692132491115,0.6804843563305973,1.447261076619787,0.214517479705589,0.20525471413607943,0.01181865259448137,430,0.005759751404840462
HON,-0.0017335241023829638,1.2967533077673017,-0.16301397562377495,0.11647582375059812,0.3418049790533994,0.5767830926402311,0.4503441527789397,0.4438623621277479,0.00335021138816484,430,0.005730251381753928
UHS,0.0019200732454880808,1.1654592772776202,0.440815932625732,0.24631236888414174,0.8498454097970601,0.5114952635232914,0.2904240401869147,0.28205639915138303,0.006612410585491643,430,0.005658984168674331
MAA,0.003165603216352438,0.6156545597491988,0.3554094405121209,0.11916567000061162,0.22795293871665445,0.2254047237779435,0.25019667796764933,0.2402258891108361,0.002648667240505847,382,0.005636622989905307
MDLZ,-0.0011820068587640948,0.7179348499513171,-0.36557826955145245,-0.01776464441650742,0.5903815985147592,0.5210499736529429,0.22377135927328407,0.21024821222229606,0.003255761159249509,293,0.005476169185777833
FRT,-0.0007533073498059206,0.7697976233028982,0.5058982783190843,0.46568514420310375,0.5025650160343788,0.0029046342232946047,0.3592555734604652,0.3516996250342914,0.002842655486649601,430,0.0054418217146162354
HRL,0.0018087074725169345,0.45903903783971545,0.09745058121268908,-0.19860675327383853,0.40596321037373523,0.4326309190440961,0.09355828291286639,0.08286911172080114,0.003409958650926084,430,0.0054371868296720915
BAX,-0.002175003465908634,0.7842603765030098,-0.2741332012949407,-0.10781954277612496,0.12528311856791335,0.8246570854984323,0.19258323460691928,0.18306181048671788,0.004210610137505429,430,0.0053895802580522754
CVX,-0.0003596008136623896,0.8811498756658256,-0.06428860634539758,0.4598518030106044,0.18018456233673294,0.3351224383136991,0.3730340778201625,0.365640611756721,0.0026053197722728017,430,0.005378964883043689
ABT,0.003006399774663758,0.7019464791379567,-0.2963924126342773,-0.2742860557472909,0.3437500828083428,0.5205646713256348,0.2463776957033964,0.23749064022820066,0.002461134664620803,430,0.0053501763770984305
APD,-0.001569917031380104,1.1107541220876442,0.024668330707937346,0.01613462920825131,0.6304026954754887,0.33071103997352724,0.39653747919151006,0.3894211758800892,0.003105521358067383,430,0.00533511035269426
EVRG,0.0015111436697010795,0.5781439311875237,-0.17225927825428208,0.1316841284884309,-0.06734744961178538,0.5287466799587847,0.19300888474924416,0.18349248008826824,0.0026240218835114275,430,0.005323039347971997
VZ,-0.0020765282203461595,0.7333319625714128,-0.48685984226091633,-0.19369308760426093,0.32191123822702017,0.6572592051136305,0.24852425329893624,0.23966251100293312,0.0029272031611613735,430,0.005318666270345431
IEX,0.0008618319191366053,1.0921449989903445,0.5566454470874098,0.035203183312937966,0.651027396407172,0.13117236210764188,0.4144253095970004,0.4075199476818707,0.003455369039109952,430,0.005297885542550286
ETR,0.002104271969229883,0.5474969975182976,-0.2961573767849618,0.13717495008386466,0.410025494207438,0.4527201705708032,0.1852210220975029,0.17561277943355835,0.0029829954831197296,430,0.0052973752195453255
SHW,0.0024850565367691116,1.0273042968898671,0.13823482828878167,0.10361198473866642,0.5420754372531439,0.2735779584835125,0.37311753625458677,0.3657250543707965,0.0030661838198380803,430,0.005256393494815777
PSA,0.0060064302273546664,0.4909099591866962,0.327518826313674,0.0862667155996523,0.13422800835303353,0.36689280838394117,0.144983308041583,0.1349005640326395,0.003504609750218438,430,0.0052342504669617256
SPG,0.0012662351079458438,0.9508911224620493,0.6794973364223381,0.7360218098696334,0.5337750482701721,-0.033632423148073166,0.43511349789076414,0.42762163446756474,0.003718645576005879,383,0.005233599592578085
JNJ,0.0019642228638852032,0.7104218598461687,-0.2820638649541231,-0.18819240177350496,0.5200731828214472,0.3743434343009505,0.29446650501158533,0.28614653455181627,0.0020843984148187556,430,0.0052030070065942555
CAG,-0.002942194956592846,0.669812119312073,-0.07742961810048812,0.07355596353767485,0.7342882176130304,0.3589552352429377,0.19533344444515943,0.18584445204474853,0.0037765895232541253,430,0.005162849137734643
CLX,0.001313970804775271,0.6039280282914299,-0.12334723269081586,-0.3654574959163032,0.44594302789866974,0.5331603611234338,0.15082180283001,0.14080790899545825,0.0033875506968815495,430,0.0051098640890406095
FAST,0.0045816885439646385,1.1044066261266734,0.7156221364285045,-0.1508856591489202,0.9869042892428561,0.33519003514582973,0.2790017742485562,0.2704994366807325,0.006620334792101654,430,0.00506174500479782
WRB,0.00427872980348146,0.6154216723032463,-0.010840898382980576,0.6362951160631315,0.5047718268679181,0.32450406085442657,0.23536967216242122,0.2263528050888648,0.004266880386449447,430,0.005044014034773166
CAT,0.0010341116756121943,1.3631498375919837,0.18563586249755867,0.4205009956105747,0.36748793957152576,0.4586797345196599,0.42844697856974256,0.4217069665245744,0.004651840082244486,430,0.005032491346971352
OKE,0.0023158392494557582,1.0295161812490679,0.2886562937753446,0.5918287059698367,0.4474158465925365,0.38285911651274185,0.31811956685659903,0.3100785240129268,0.005195285586690935,430,0.005031994203986157
CARR,0.002052446294142496,1.092380847283335,0.5759533316470895,-0.29256105501610125,0.7270189457751834,0.28695316364630025,0.4640594867399618,0.4208384776060877,0.004585161956422621,68,0.004992704330200475
LIN,0.001076253085523377,1.0376611762046126,-0.11507322768752928,0.05299186342803005,0.5611608519122018,0.3335829143675282,0.3832499626725483,0.3754430001747324,0.002826180934707794,401,0.004925405118644036
KIM,-0.0013124298386323692,1.0105551844100777,0.6026523326157766,0.6302986820716314,0.3617311410216525,0.14618974678641442,0.3879758870352259,0.3803636468242213,0.00434938276687935,408,0.004904563216414316
ADM,-0.0011506220596476334,0.7590818624780254,-0.02262392886200064,0.09090569078846447,0.4534315440239989,0.5643265979789639,0.1693851480999511,0.15959016163886552,0.004960983414425119,430,0.004868683804182445
NEE,0.004334546102962381,0.5017669541168304,-0.24476097228228555,-0.03977378502365672,0.2777424979271185,0.44184177597327834,0.1398631951839282,0.12972007248562545,0.0027390620558848965,430,0.004737226662416155
PH,-0.000268086213281597,1.3999564095089219,0.3938568092368292,0.31625220043892743,0.7624661010046527,0.10174337468271673,0.5004662734872573,0.4945755455802674,0.003748489914820608,430,0.0047220053762703435
REG,-0.0005281345590699113,0.8343293488633743,0.588250507301235,0.4710135723085669,0.5454684938424953,-0.03450780771470368,0.3666186588846928,0.35826270451641695,0.003364629219112621,385,0.0047095442403982096
UPS,-0.003966650965272387,0.9311897332804886,-0.04612900857576507,-0.03227855979176204,0.4202746632853082,0.3498050289240285,0.3498316289368162,0.33920796274297327,0.0028416738264876416,312,0.0046973911781669165
ARE,-0.0011056547778977989,0.8286644245969352,0.45502402864074254,0.256696568877236,0.37524440761811595,0.2819630711115975,0.27856424508057076,0.26782859396569825,0.004557658265100869,342,0.004682845956221763
DOC,0.0009892038495561454,0.6838110083086807,0.23190481561659834,0.2840201937249522,0.2527682387675183,0.34365694579856343,0.1971341197063341,0.1876663616840032,0.004138313326144804,430,0.004575761224249069
MTD,0.0051612017391059785,1.2138242931716823,0.20061244635076275,-0.41141746776093097,0.17913441897123156,0.573509036918583,0.43266119741013753,0.42406515494665475,0.003925092850006592,336,0.004574690512622074
BLK,0.007268709263825093,1.1154619263201635,0.3920533719342585,0.06871272284820502,0.3392631710709669,0.41552166761423504,0.35670775171543956,0.34623067926780826,0.004857106712630493,313,0.004566388152247448
EQR,0.000891311667424304,0.7519102115280392,0.19817268049023157,0.40625765980135536,0.20191600544925406,0.1886523844886797,0.31312083232157273,0.3041066700160816,0.002853015191965403,387,0.00455704345288587
PKG,0.002479525949154366,1.0913527282784166,0.19864986071199925,0.2317176232527391,0.5922598287169825,0.25757893946651367,0.37785705400054403,0.3676244397571319,0.004024068500803023,310,0.004546991090636501
ACGL,0.005052958966780275,0.44029119618322843,0.42129455949106365,0.16787743518409437,0.4030558025902973,0.11914757783990994,0.1511768774148352,0.13925520434481875,0.003469433204233349,362,0.004434706397134674
ES,6.73079654961918e-05,0.543309015066381,-0.10334545193370426,-0.024042802988396023,0.2063398021803143,0.4119193094192907,0.13525076597390195,0.12505325142170742,0.002996506560812641,430,0.004408708119975538
CHRW,0.006433114143141395,0.6579399806694145,0.5053197258632355,-0.17090471289374623,0.2623525760654844,0.4407948505353109,0.1789544402833565,0.1665519393812923,0.005201127308029012,337,0.004403033590195914
