Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs
LKQ,0.00278517818739801,0.9505775371256602,0.6170181960175836,0.16409150986260926,0.8209188327702555,-0.12842236285390396,0.3230789023339258,0.30996027641016466,0.005122898628337239,264
LLY,0.0065690739551356354,0.655680878417144,-0.3732317683396398,-0.4583456990278137,0.1848893397929851,0.5797542764661873,0.13720816418651272,0.1270096791296157,0.0050118191877940475,429
LMT,0.003463731533794653,0.6172525485325533,0.21593344648215096,0.35361639753442603,0.7341590948869339,-0.03819593894203696,0.20283342779021118,0.1934106550690553,0.0038992358505012936,429
LNT,0.0019574197657519572,0.516876053054682,-0.08564642775207695,0.001611375187318455,0.20659110577721315,0.5919297989369128,0.16545478222905596,0.15559018154618431,0.002391497349560115,429
LOW,0.005553627804079084,1.1467524790565524,0.4525774764755466,0.16652146985910238,0.5930156440521971,-0.287854927109058,0.3150701293423025,0.30697403158039116,0.006113275928094072,429
LRCX,0.017739304429366692,1.5991896387497706,0.47612220701870134,-0.19161314614096195,-0.7333343075967101,-0.8759422288089218,0.3591286942494184,0.35155338330674,0.015965895506790853,429
LULU,0.004446164354904808,1.538677693462539,0.49691486038839533,-0.4190013839917448,0.4959948300848742,0.4454982349841518,0.2581218302222035,0.24070684971098766,0.015692842328561916,219
LUV,0.001015105376068806,1.131623676165551,0.04655542664979999,0.5679540899413554,0.22094806975037382,-0.046910907659629825,0.2688280612331827,0.26018536692151817,0.006988372126866776,429
LVS,-0.0004771676221753859,1.9882937158998468,0.35762853277310114,0.8966873174718695,-0.1362067805225088,-0.6245167716932263,0.35219003428502604,0.3389152399056209,0.019230843955216896,250
LW,0.004072200251272121,0.5557151131762939,0.1539234004042812,0.2294420109110391,0.028115440346496816,0.07379701296867719,0.11563287379168441,0.07185232298929256,0.0071996971305232915,107
LYB,0.0009100889898042381,1.2184316635566463,0.23176637312721754,0.8964514808794846,-0.10265935049339169,-0.1548648574560001,0.4750750916019867,0.4604938441464863,0.00471744344587353,186
LYV,0.009220124373397538,1.2259240807154406,0.7479879658514552,0.7137533780949341,-0.4428032605581094,-0.9687276210364439,0.3887871316227526,0.37561444049393256,0.009560509407014053,238
MA,0.01153040874934934,1.082561980623219,-0.11246851064128136,-0.27757305547990313,0.6166041686439725,0.1758473335455747,0.3235216581878716,0.3086212541831992,0.0046593699010522155,233
MAA,0.003023222449538429,0.6168285781096425,0.3528629696289514,0.11270135852607915,0.22682330972914122,0.23116137288525235,0.25024434200306644,0.24024759989644073,0.0026484419382324523,381
MAR,0.0011810295313250659,1.3113557806601397,0.22568861799173132,0.684339438745825,0.35142136310896593,-0.20225347262216048,0.5262357333537349,0.5189470523284077,0.0037247194510264675,331
MAS,-0.006226636141313636,1.472760925010209,0.3811399785607206,0.6360089886306277,0.7014112669291814,-0.04835966888661483,0.4914760645812887,0.4854651433588453,0.004627401219652128,429
MCD,0.0017555739977732098,0.8035271571461786,-0.30244057447048633,0.03126812877482246,0.4020743582079452,0.3044822506337353,0.3150902665324735,0.30699440679881485,0.0023573316976549076,429
MCHP,0.010959375104280853,1.246641793521314,0.5355761079480248,-0.064959488667373,-0.2155637103593638,-0.09576558561577599,0.28736606323319325,0.2781110770414166,0.010535336129289837,391
MCK,0.007021235156337232,0.6452448756721593,0.06367020649077787,0.14581105778220188,0.22613737866457742,0.0047042161992627484,0.11281054639228782,0.10065726620588078,0.006312486292894636,371
MCO,0.003399393033697472,1.022199304683388,0.20343132292207106,0.029950681861644825,0.4364982746772022,-0.14482815509105745,0.33202229487207835,0.32289691638672424,0.004188631009659108,372
MDLZ,-0.0011645394497643248,0.71778488443121,-0.3653015068656238,-0.016924806871107787,0.5907372563908185,0.5204674231889687,0.22376874115684775,0.21019826460364577,0.003267009948836721,292
MDT,0.0038355719882485735,0.7994736149124685,-0.07319763652585419,-0.06924086999583348,0.12975200083314026,0.02746809988616581,0.24781883393323145,0.23892780360147292,0.0035142732317049066,429
MET,0.0003666622357920977,1.1625031261087453,0.18174334163510386,1.155331981758153,-0.04519822230921916,-0.05452174462969389,0.6207147719403274,0.6143933514726663,0.0027660367845373374,306
META,0.009269696107729843,1.193977340114783,-0.3008686259822707,-0.603502445543701,0.0967462228507769,-0.036233288162258515,0.2377482403695903,0.21315947392989965,0.009473423799456105,161
MGM,-0.003579927687169572,1.801416208853258,1.1298271552642671,1.1498435361135444,0.7836248122668539,-0.4100885474038661,0.2760671140216352,0.26750998770983425,0.02321053756167826,429
MHK,-0.0035932636077321725,1.4532137556528686,1.110516900316711,0.7915346473219501,0.9808760657696635,-0.43012636994068115,0.41140486329189396,0.4039731065152764,0.008398376903362297,402
MKC,0.00013715268194277843,0.6646951951072981,0.2340964674818141,-0.41088698414154706,0.8669505412597895,0.6657585329716151,0.23397536730630075,0.22492070261724995,0.002804428184985525,429
MKTX,0.006701099421308534,0.680033249404311,0.7522403013592828,-0.4055072970275447,0.1708903283846491,0.18407980957629963,0.1463869761522797,0.12896630219620375,0.009052052607683434,251
MLM,0.002372367166950912,0.9444560470468605,0.11438384780274384,0.478912737232748,0.29823045801963827,-0.17804883856474055,0.2909015090555528,0.281421582706028,0.00469158542855442,380
MMC,0.0003113803940451781,0.9521865989521979,-0.4351264534814179,0.3881663963475268,0.2563855406486103,-0.20749461203695874,0.38275866009629167,0.37546266317071597,0.002835811591936753,429
MMM,-0.0017677122547957271,0.8933602022171692,0.20048416853895795,0.07595296950998347,0.45572083639138156,0.43935670113313535,0.37273083554420683,0.36531630641352375,0.0023753714543613583,429
MNST,0.019887960897408328,0.7449834781337326,0.5802963989359856,-0.26139073088141945,0.7630976817074495,-0.4561221854046674,0.07248837721064505,0.06152488285143276,0.021790241455201358,429
MO,0.004800620473479233,0.8678733665587457,-0.060175074426598175,-0.08669343425550577,0.9121530704834727,0.5480602238973992,0.0881646696747388,0.07738647428082313,0.014365167476966548,429
MOH,0.006697787242072964,0.8356540229225025,0.5190612103668873,-0.7132705522302534,-0.05828199485597196,0.682727845710168,0.13545067924868015,0.11888843172470853,0.011354953411837515,267
MOS,-0.003407800400048421,1.126734743374114,0.4321064808636086,0.4420275207457215,0.3178489857176121,0.09513299682998914,0.19071141454702267,0.18114535561731848,0.011750696923835905,429
