Date,ret_all_mean,ret_all_std,ret_all_dispersion,ret_pos_ratio,ret_small,ret_big,SMB_proxy,ret_highBM,ret_lowBM,HML_proxy,ret_robust,ret_weak,RMW_proxy,ret_cons,ret_aggr,CMA_proxy,RF,Mkt-RF,SMB,HML,RMW,CMA,Mkt
2024-12-01,-0.06264705684626337,0.0636423758731483,0.13582873195097553,0.11155378486055777,-0.06590090418377939,-0.05939320950874738,-0.006507694675032011,-0.07453430450517598,-0.05075980918735084,-0.02377449531782514,-0.055732007321883326,-0.06883145962844482,0.013099452306561496,-0.06993407125307845,-0.055183743703799554,-0.014750327549278894,0.0037,0.028,-1.23,1.63,-2.35,-3.24,-0.0278
2025-01-01,0.03677035141796411,0.0689976603720908,0.16379238666862606,0.7270916334661355,0.02598517095720125,0.04755553187872709,-0.02157036092152584,0.0287162630021653,0.04482443983376301,-0.01610817683159771,0.041327496240209906,0.03269471623731416,0.008632780002895746,0.02513577815342467,0.04868640629374249,-0.02355062814031782,0.0037,-0.0243,-4.91,4.91,1.08,3.06,0.0317
2025-02-01,-0.007066078143839104,0.08911882955123075,0.21396102369409692,0.4940239043824701,-0.015915858696927694,0.0017837024092495005,-0.017699561106177195,0.0009521306412887889,-0.015084286928967001,0.01603641757025579,-0.013543375937906913,-0.0012731740789557995,-0.012270201858951113,-0.006906281502573565,-0.007229740832877167,0.0003234593303036021,0.0033,-0.0639,-1.49,2.9,2.11,-0.47,-0.021
2025-03-01,-0.03578930086905473,0.07319673343150067,0.17731174239685046,0.31274900398406374,-0.034013456418440675,-0.03756514531966883,0.003551688901228152,-0.021247914153414822,-0.050330687584694646,0.029082773431279824,-0.04352629728482793,-0.028869798414193456,-0.014656498870634475,-0.037700559055952196,-0.033831802564732394,-0.003868756491219802,0.0034,-0.0084,-1.86,-3.4,-2.85,-2.67,-0.0605
2025-04-01,-0.020945144204682853,0.077594490661568,0.1855245910394917,0.35258964143426297,-0.03385384220392066,-0.008036446205445054,-0.025817395998475608,-0.04437335388547947,0.00248306547611376,-0.04685641936159323,-0.012907901962418838,-0.028133168398707706,0.015225266436288867,-0.04343046800074306,0.002084179360636869,-0.045514647361379924,0.0035,0.0606,-0.72,-2.88,1.29,2.51,-0.0049
2025-05-01,0.044027275131591624,0.08413205490052597,0.19074688458944117,0.6952191235059761,0.03415224351329396,0.05390230674988936,-0.0197500632365954,0.02657922266016029,0.061475327603023,-0.034896104942862716,0.05801843127231481,0.03151442982837889,0.026504001443935922,0.0342142068927291,0.05407775631171704,-0.019863549418987936,0.0038,0.0486,-0.02,-1.6,-3.2,1.45,0.0644
2025-06-01,0.03423286682381978,0.07171306537613749,0.1587637881508696,0.6852589641434262,0.021962536308025957,0.04650319733961361,-0.024540661031587654,0.02865910088807353,0.039806632759566064,-0.011147531871492533,0.03262246456802204,0.035673113369571005,-0.003050648801548962,0.02618085006996417,0.04247969043462356,-0.01629884036465939,0.0034,0.0198,-0.15,-1.27,-0.29,-2.07,0.052
2025-07-01,0.01028436503621688,0.09365174832157439,0.1894933740156441,0.5697211155378487,0.00914773415694854,0.011420995915485241,-0.002273261758536701,0.00395172895188128,0.016617001120552494,-0.012665272168671214,0.01067724046394226,0.009933000974439865,0.0007442394895023959,0.008479680930490282,0.012132710854178818,-0.0036530299236885357,0.0034,0.0185,4.88,4.42,-0.68,2.07,0.0232
2025-08-01,0.02829126383377829,0.07480271165641178,0.16894154783388501,0.6752988047808764,0.03143469519830901,0.02514783246924755,0.006286862729061458,0.039237369092119716,0.01734515857543685,0.021892210516682865,0.025936775228723893,0.03039697628433633,-0.004460201055612439,0.0321674582840154,0.024321290485551574,0.007846167798463824,0.0038,0.0339,-2.18,-1.05,-2.03,-2.22,0.0223
2025-09-01,0.008138104716293466,0.08653296176875311,0.16718393739091092,0.5039840637450199,-0.008188148188307945,0.024464357620894862,-0.03265250580920281,0.0015814836878051243,0.014694725744781815,-0.013113242056976691,0.011004055620948616,0.005574971265715094,0.005429084355233522,-0.0066028077171636345,0.023235652127979366,-0.029838459845143002,0.0033,0.0195,-1.31,-3.1,-5.22,-4.03,0.0372
