Ticker,Alpha,Beta_MKT,Beta_SMB,Beta_HML,Beta_RMW,Beta_CMA,R_squared,Adj_R_squared,ResidVar,N_obs,Weight
KMB,-0.0015794297189581068,0.6710217415713708,-0.29644041760650874,-0.22764009163787538,0.6779629868744619,0.8041251944123771,0.3125537802909657,0.30442793845043337,0.0020655963610967326,429,0.012472767159371349
GPC,-0.0025334506570398956,0.8315991837422538,0.2464337503452518,0.22778179597362438,0.5838791351424962,0.4056074881554164,0.39526540022104883,0.3881172371030943,0.0021183339777932405,429,0.011627930071151801
PG,0.0007470032964418066,0.6313512951397029,-0.13825509132407954,-0.3501357289862277,0.575269674000966,0.8028840659434338,0.23558719779672876,0.22655158547754117,0.002299953581736746,429,0.011208061502630207
WEC,0.0027086279233211564,0.3896793688086688,-0.14586910451317545,-0.04724621485606848,0.4218787421332157,0.5645202407464053,0.1626399737173152,0.15274210106621955,0.0019532204216483858,429,0.010688666895126578
D,0.000848234815038159,0.49166297014827043,-0.16047979821466324,0.059462812543388685,0.25746186396850906,0.5635469170240082,0.1853066517618117,0.17567670674717595,0.002114237075813633,429,0.009832811731475061
MKC,0.0001371623277741576,0.6646944683528702,0.23409551495254638,-0.4108861507299773,0.8669489651475515,0.6657585908648744,0.23397466691447533,0.22491999394656137,0.0028044317109984546,429,0.00971283740021612
DTE,0.0016783129493205045,0.5286994139899341,-0.21772533292607496,0.1934568442232683,0.25362295293452886,0.4952965899478833,0.2370780708041874,0.22806008109738107,0.0019688208102714134,429,0.00969720657942074
CINF,0.0018598885982225824,0.753176205231253,-0.13182481908609067,0.46865081416706533,0.194010110244657,0.6507857087874585,0.3044247459287571,0.29620281621160305,0.0031364433031783436,429,0.009549973060101852
MMM,-0.0017677101584851744,0.8933608986262422,0.20048385530144167,0.07595372747359275,0.4557203538577024,0.43935490743814926,0.37273087850474507,0.3653163498818697,0.0023753747210581194,429,0.009119124485764858
LNT,0.0019574153100811046,0.5168768805201984,-0.08564722114205714,0.0016116472590158373,0.20659080855786638,0.5919301716591358,0.16545502519524036,0.1555904273843094,0.0023915002305664513,429,0.009105384571955028
